latitude,longitude
-25.03472222222223,-55
-25.03472222222223,-53
-25.03472222222223,-51
-25.03472222222223,17
-25.03472222222223,19
-25.03472222222223,21
-25.03472222222223,23
-25.03472222222223,25
-25.03472222222223,27
-25.03472222222223,29
-25.03472222222223,31
-25.03472222222223,117
-25.03472222222223,119
-25.03472222222223,121
-25.03472222222223,123
-25.03472222222223,125
-25.03472222222223,127
-25.03472222222223,129
-25.03472222222223,131
-25.03472222222223,133
-25.03472222222223,135
-25.03472222222223,137
-25.03472222222223,139
-25.03472222222223,141
-25.03472222222223,143
-25.03472222222223,145
-25.03472222222223,147
-25.03472222222223,149
-25.03472222222223,151
-23.03194444444445,-69
-23.03194444444445,-67
-23.03194444444445,-65
-23.03194444444445,-63
-23.03194444444445,-61
-23.03194444444445,-59
-23.03194444444445,-57
-23.03194444444445,-55
-23.03194444444445,-53
-23.03194444444445,-51
-23.03194444444445,-49
-23.03194444444445,17
-23.03194444444445,19
-23.03194444444445,21
-23.03194444444445,23
-23.03194444444445,25
-23.03194444444445,27
-23.03194444444445,29
-23.03194444444445,31
-23.03194444444445,33
-23.03194444444445,45
-23.03194444444445,117
-23.03194444444445,119
-23.03194444444445,121
-23.03194444444445,123
-23.03194444444445,125
-23.03194444444445,127
-23.03194444444445,129
-23.03194444444445,131
-23.03194444444445,133
-23.03194444444445,135
-23.03194444444445,137
-23.03194444444445,139
-23.03194444444445,141
-23.03194444444445,143
-23.03194444444445,145
-23.03194444444445,147
-21.02916666666667,-69
-21.02916666666667,-67
-21.02916666666667,-65
-21.02916666666667,-63
-21.02916666666667,-61
-21.02916666666667,-59
-21.02916666666667,-57
-21.02916666666667,-55
-21.02916666666667,-53
-21.02916666666667,-51
-21.02916666666667,-49
-21.02916666666667,-47
-21.02916666666667,-45
-21.02916666666667,-43
-21.02916666666667,17
-21.02916666666667,19
-21.02916666666667,21
-21.02916666666667,23
-21.02916666666667,25
-21.02916666666667,27
-21.02916666666667,29
-21.02916666666667,31
-21.02916666666667,33
-21.02916666666667,47
-21.02916666666667,121
-21.02916666666667,123
-21.02916666666667,125
-21.02916666666667,127
-21.02916666666667,129
-21.02916666666667,131
-21.02916666666667,133
-21.02916666666667,135
-21.02916666666667,137
-21.02916666666667,139
-21.02916666666667,141
-21.02916666666667,143
-21.02916666666667,145
-21.02916666666667,147
-19.02638888888889,-69
-19.02638888888889,-67
-19.02638888888889,-65
-19.02638888888889,-63
-19.02638888888889,-61
-19.02638888888889,-59
-19.02638888888889,-57
-19.02638888888889,-55
-19.02638888888889,-53
-19.02638888888889,-51
-19.02638888888889,-49
-19.02638888888889,-47
-19.02638888888889,-45
-19.02638888888889,-43
-19.02638888888889,-41
-19.02638888888889,15
-19.02638888888889,17
-19.02638888888889,19
-19.02638888888889,21
-19.02638888888889,23
-19.02638888888889,25
-19.02638888888889,27
-19.02638888888889,29
-19.02638888888889,31
-19.02638888888889,33
-19.02638888888889,47
-19.02638888888889,125
-19.02638888888889,127
-19.02638888888889,129
-19.02638888888889,131
-19.02638888888889,133
-19.02638888888889,135
-19.02638888888889,137
-19.02638888888889,139
-19.02638888888889,141
-19.02638888888889,143
-19.02638888888889,145
-17.02361111111111,-69
-17.02361111111111,-67
-17.02361111111111,-65
-17.02361111111111,-63
-17.02361111111111,-61
-17.02361111111111,-59
-17.02361111111111,-57
-17.02361111111111,-55
-17.02361111111111,-53
-17.02361111111111,-51
-17.02361111111111,-49
-17.02361111111111,-47
-17.02361111111111,-45
-17.02361111111111,-43
-17.02361111111111,-41
-17.02361111111111,15
-17.02361111111111,17
-17.02361111111111,19
-17.02361111111111,21
-17.02361111111111,23
-17.02361111111111,25
-17.02361111111111,27
-17.02361111111111,29
-17.02361111111111,31
-17.02361111111111,33
-17.02361111111111,35
-17.02361111111111,47
-17.02361111111111,127
-17.02361111111111,129
-17.02361111111111,131
-17.02361111111111,133
-17.02361111111111,135
-17.02361111111111,143
-15.02083333333333,-71
-15.02083333333333,-69
-15.02083333333333,-67
-15.02083333333333,-65
-15.02083333333333,-63
-15.02083333333333,-61
-15.02083333333333,-59
-15.02083333333333,-57
-15.02083333333333,-55
-15.02083333333333,-53
-15.02083333333333,-51
-15.02083333333333,-49
-15.02083333333333,-47
-15.02083333333333,-45
-15.02083333333333,-43
-15.02083333333333,-41
-15.02083333333333,15
-15.02083333333333,17
-15.02083333333333,19
-15.02083333333333,21
-15.02083333333333,23
-15.02083333333333,25
-15.02083333333333,27
-15.02083333333333,29
-15.02083333333333,31
-15.02083333333333,33
-15.02083333333333,35
-15.02083333333333,37
-15.02083333333333,39
-15.02083333333333,131
-15.02083333333333,133
-13.01805555555556,-75
-13.01805555555556,-73
-13.01805555555556,-71
-13.01805555555556,-69
-13.01805555555556,-67
-13.01805555555556,-65
-13.01805555555556,-63
-13.01805555555556,-61
-13.01805555555556,-59
-13.01805555555556,-57
-13.01805555555556,-55
-13.01805555555556,-53
-13.01805555555556,-51
-13.01805555555556,-49
-13.01805555555556,-47
-13.01805555555556,-45
-13.01805555555556,-43
-13.01805555555556,-41
-13.01805555555556,15
-13.01805555555556,17
-13.01805555555556,19
-13.01805555555556,21
-13.01805555555556,23
-13.01805555555556,25
-13.01805555555556,27
-13.01805555555556,29
-13.01805555555556,31
-13.01805555555556,33
-13.01805555555556,35
-13.01805555555556,37
-13.01805555555556,39
-11.01527777777778,-75
-11.01527777777778,-73
-11.01527777777778,-71
-11.01527777777778,-69
-11.01527777777778,-67
-11.01527777777778,-65
-11.01527777777778,-63
-11.01527777777778,-61
-11.01527777777778,-59
-11.01527777777778,-57
-11.01527777777778,-55
-11.01527777777778,-53
-11.01527777777778,-51
-11.01527777777778,-49
-11.01527777777778,-47
-11.01527777777778,-45
-11.01527777777778,-43
-11.01527777777778,-41
-11.01527777777778,-39
-11.01527777777778,17
-11.01527777777778,19
-11.01527777777778,21
-11.01527777777778,23
-11.01527777777778,25
-11.01527777777778,27
-11.01527777777778,29
-11.01527777777778,31
-11.01527777777778,33
-11.01527777777778,35
-11.01527777777778,37
-11.01527777777778,39
-9.012500000000003,-77
-9.012500000000003,-75
-9.012500000000003,-73
-9.012500000000003,-71
-9.012500000000003,-69
-9.012500000000003,-67
-9.012500000000003,-65
-9.012500000000003,-63
-9.012500000000003,-61
-9.012500000000003,-59
-9.012500000000003,-57
-9.012500000000003,-55
-9.012500000000003,-53
-9.012500000000003,-51
-9.012500000000003,-49
-9.012500000000003,-47
-9.012500000000003,-45
-9.012500000000003,-43
-9.012500000000003,-41
-9.012500000000003,-39
-9.012500000000003,15
-9.012500000000003,17
-9.012500000000003,19
-9.012500000000003,21
-9.012500000000003,23
-9.012500000000003,25
-9.012500000000003,27
-9.012500000000003,29
-9.012500000000003,31
-9.012500000000003,33
-9.012500000000003,35
-9.012500000000003,37
-7.009722222222223,-77
-7.009722222222223,-75
-7.009722222222223,-73
-7.009722222222223,-71
-7.009722222222223,-69
-7.009722222222223,-67
-7.009722222222223,-65
-7.009722222222223,-63
-7.009722222222223,-61
-7.009722222222223,-59
-7.009722222222223,-57
-7.009722222222223,-55
-7.009722222222223,-53
-7.009722222222223,-51
-7.009722222222223,-49
-7.009722222222223,-47
-7.009722222222223,-45
-7.009722222222223,-43
-7.009722222222223,-41
-7.009722222222223,-39
-7.009722222222223,-37
-7.009722222222223,15
-7.009722222222223,17
-7.009722222222223,19
-7.009722222222223,21
-7.009722222222223,23
-7.009722222222223,25
-7.009722222222223,27
-7.009722222222223,29
-7.009722222222223,31
-7.009722222222223,33
-7.009722222222223,35
-7.009722222222223,37
-5.006944444444443,-79
-5.006944444444443,-77
-5.006944444444443,-75
-5.006944444444443,-73
-5.006944444444443,-71
-5.006944444444443,-69
-5.006944444444443,-67
-5.006944444444443,-65
-5.006944444444443,-63
-5.006944444444443,-61
-5.006944444444443,-59
-5.006944444444443,-57
-5.006944444444443,-55
-5.006944444444443,-53
-5.006944444444443,-51
-5.006944444444443,-49
-5.006944444444443,-47
-5.006944444444443,-45
-5.006944444444443,-43
-5.006944444444443,-41
-5.006944444444443,-39
-5.006944444444443,15
-5.006944444444443,17
-5.006944444444443,19
-5.006944444444443,21
-5.006944444444443,23
-5.006944444444443,25
-5.006944444444443,27
-5.006944444444443,29
-5.006944444444443,31
-5.006944444444443,33
-5.006944444444443,35
-5.006944444444443,37
-5.006944444444443,141
-5.006944444444443,143
-3.004166666666663,-77
-3.004166666666663,-75
-3.004166666666663,-73
-3.004166666666663,-71
-3.004166666666663,-69
-3.004166666666663,-67
-3.004166666666663,-65
-3.004166666666663,-63
-3.004166666666663,-61
-3.004166666666663,-59
-3.004166666666663,-57
-3.004166666666663,-55
-3.004166666666663,-53
