latitude,longitude,era5_t2m_2015_C,era5_t2m_2016_C,era5_t2m_2017_C,era5_t2m_2018_C,era5_t2m_2019_C,era5_t2m_2020_C,era5_t2m_2021_C,era5_t2m_2022_C,era5_t2m_2023_C,era5_t2m_2024_C
-31.0431,-71,15.8623,16.4869,15.8975,16.2074,16.1913,15.7611,15.5236,14.9352,16.7142,15.7276
-31.0431,-71,15.8623,16.4869,15.8975,16.2074,16.1913,15.7611,15.5236,14.9352,16.7142,15.7276
-31.0431,-69,9.6570,9.1862,10.2048,9.6941,9.9634,10.4272,9.5042,9.1806,11.3742,10.5781
-31.0431,-69,9.6570,9.1862,10.2048,9.6941,9.9634,10.4272,9.5042,9.1806,11.3742,10.5781
-31.0431,-67,18.9857,18.4707,19.2855,19.0252,18.9773,19.5412,19.0812,19.3133,20.5755,20.0649
-31.0431,-65,16.9011,16.2451,16.9299,16.5369,16.6085,17.0799,16.7156,16.7142,17.9607,17.4559
-31.0431,-63,19.6995,18.7925,19.8860,19.7445,19.2206,19.6758,19.7818,19.8099,20.8936,19.9628
-31.0431,-61,19.6712,18.5872,19.2953,19.1974,18.8253,18.7652,19.0838,18.8069,20.2405,19.4615
-31.0431,-59,19.4080,18.5821,19.4500,19.1403,18.7178,18.9999,19.0349,18.4588,20.1479,19.1954
-31.0431,-59,19.4080,18.5821,19.4500,19.1403,18.7178,18.9999,19.0349,18.4588,20.1479,19.1954
-31.0431,-57,19.2626,18.4690,19.5585,19.1122,18.9417,19.1193,18.9065,18.6709,19.7120,19.0341
-31.0431,-57,19.2626,18.4690,19.5585,19.1122,18.9417,19.1193,18.9065,18.6709,19.7120,19.0341
-31.0431,-57,19.2626,18.4690,19.5585,19.1122,18.9417,19.1193,18.9065,18.6709,19.7120,19.0341
-31.0431,-55,18.9902,18.4958,19.4847,18.9251,19.0986,18.7370,18.4849,18.2653,19.1427,18.7098
-31.0431,-55,18.9902,18.4958,19.4847,18.9251,19.0986,18.7370,18.4849,18.2653,19.1427,18.7098
-31.0431,-53,18.2805,17.8677,18.9619,18.3367,18.6434,18.1241,17.9276,17.5585,18.4812,18.2442
-31.0431,-53,18.2805,17.8677,18.9619,18.3367,18.6434,18.1241,17.9276,17.5585,18.4812,18.2442
-31.0431,19,18.2622,18.7602,18.5600,18.3678,18.6213,18.3816,18.3772,18.4870,17.7957,18.7215
-31.0431,21,18.6625,18.6229,18.5402,18.0267,19.1440,18.7173,18.0297,18.1541,18.0690,18.8839
-31.0431,23,18.0582,17.9884,17.7084,17.4953,18.6791,17.7518,17.3438,17.2574,17.1736,18.1306
-31.0431,25,16.3635,16.5757,16.0936,15.9832,17.0276,15.8841,15.5273,15.5172,15.4174,16.5776
-31.0431,27,15.2136,15.2000,14.6381,14.4428,15.5555,14.0853,14.0648,13.9647,14.2358,15.2263
-31.0431,27,15.2136,15.2000,14.6381,14.4428,15.5555,14.0853,14.0648,13.9647,14.2358,15.2263
-31.0431,29,16.9510,17.0697,16.3072,16.5131,17.1513,16.8152,16.4404,16.5269,16.6159,17.3808
-31.0431,29,16.9510,17.0697,16.3072,16.5131,17.1513,16.8152,16.4404,16.5269,16.6159,17.3808
-31.0431,117,18.8846,17.4752,18.3410,18.1638,18.9458,18.6556,18.0838,18.0391,18.7076,19.5051
-31.0431,119,19.4337,17.7267,18.7328,18.6499,19.6535,19.0716,18.5793,18.4603,19.2413,19.6713
-31.0431,121,18.9230,17.6131,18.3266,18.4217,19.4911,18.8737,18.0565,18.0027,18.9355,19.0294
-31.0431,123,18.9605,17.7778,18.2767,18.5584,19.6196,19.1480,18.1865,17.9809,18.8280,18.8454
-31.0431,125,19.0170,17.9377,18.6287,18.7626,19.7433,19.1273,18.3189,18.1722,18.9900,18.8217
-31.0431,127,18.5037,17.4148,18.1241,18.1919,19.2210,18.3851,17.8265,17.6694,18.3702,18.4795
-31.0431,129,17.9151,17.1608,17.5849,17.7749,18.5481,17.8835,17.2761,17.1903,17.6495,18.1435
-31.0431,131,18.1746,17.5496,17.9034,18.3801,18.6926,18.0356,17.4328,17.4071,18.0017,18.2469
-31.0431,133,18.6603,17.8843,18.3310,18.8400,19.0145,18.2915,17.8319,17.7199,18.4446,18.8102
-31.0431,135,19.4846,19.0546,19.2871,19.4863,20.0003,18.9422,18.6376,18.3520,19.4289,20.0931
-31.0431,137,20.0248,19.7681,19.9850,20.2436,20.6241,19.2284,19.3810,18.9634,19.9907,20.6801
-31.0431,139,18.5363,18.6199,18.9991,19.3099,19.7149,18.2994,18.0293,17.5293,19.1117,19.4462
-31.0431,141,20.6278,20.6118,21.1995,21.4008,21.6944,20.3159,20.0531,19.6499,21.1350,21.3876
-31.0431,143,20.1232,20.3093,21.0058,21.2136,21.4564,20.1409,19.5729,19.3262,20.9269,20.7327
-31.0431,145,20.1714,19.9642,20.8850,21.1896,21.2504,20.0202,19.1586,18.9084,20.6477,20.5434
-31.0431,147,19.8452,19.3788,19.9793,20.4512,21.1053,19.4897,17.9564,17.9432,19.6377,19.7472
-31.0431,149,18.3470,18.2404,18.9214,19.3976,20.0054,18.1628,16.8695,16.8348,18.7373,18.8128
-31.0431,151,15.7207,15.9580,16.1458,16.5505,17.2034,15.8217,14.8280,14.7409,16.1177,16.8867
-31.0431,153,18.9869,19.4428,19.3516,19.0133,19.4478,19.3320,18.7772,18.7444,19.1168,19.7834
-29.0403,-71,15.7991,16.3644,15.7423,15.8377,15.7863,15.3974,15.0945,14.7394,15.8947,15.1199
-29.0403,-71,15.7991,16.3644,15.7423,15.8377,15.7863,15.3974,15.0945,14.7394,15.8947,15.1199
-29.0403,-69,4.0598,3.9305,4.6267,5.1347,5.3152,4.8029,4.1860,3.2177,6.6172,4.6739
-29.0403,-69,4.0598,3.9305,4.6267,5.1347,5.3152,4.8029,4.1860,3.2177,6.6172,4.6739
-29.0403,-67,13.0474,12.5618,13.2633,13.0715,13.2909,13.5164,12.8155,12.5243,14.4548,14.0610
-29.0403,-65,22.2859,21.4334,22.3239,22.1162,22.1390,22.3824,22.1922,22.1352,23.6173,22.7481
-29.0403,-63,21.7153,20.7285,21.7613,21.4250,21.0373,21.7166,21.9921,21.6725,23.0879,22.2337
-29.0403,-61,21.1223,19.8898,20.7770,20.6382,20.3149,20.5326,20.4847,20.3955,22.2039,21.2381
-29.0403,-59,20.8260,19.8648,20.8941,20.7150,20.5244,20.9287,20.1855,20.5177,21.8104,20.9263
